"originalPath","archivedPath","category","trackedByGit","sizeBytes","sha256","reason","runtimeDependency","action"
"data/docs","data/docs","ACTIVE_RUNTIME_REQUIRED","True","704484","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"data/mosaic-scenarios/MaGaIntegratedStudy","archive/historical-scenarios/MaGaIntegratedStudy","ARCHIVE_HISTORICAL_SCENARIO","True","11523286","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-scenarios/MaGaIntegratedStudyFrequency2x","archive/historical-scenarios/MaGaIntegratedStudyFrequency2x","ARCHIVE_HISTORICAL_SCENARIO","True","11523296","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-scenarios/MaGaIntegratedStudyRequest2x","archive/historical-scenarios/MaGaIntegratedStudyRequest2x","ARCHIVE_HISTORICAL_SCENARIO","True","11523295","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-scenarios/MaGaIntegratedStudyResponse2x","archive/historical-scenarios/MaGaIntegratedStudyResponse2x","ARCHIVE_HISTORICAL_SCENARIO","True","11523297","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-scenarios/MaGaLiveBridgeProbe","archive/historical-scenarios/MaGaLiveBridgeProbe","ARCHIVE_HISTORICAL_SCENARIO","True","11481012","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-scenarios/MaGaLiveInfrastructureSnapshotStudy","archive/historical-scenarios/MaGaLiveInfrastructureSnapshotStudy","ARCHIVE_HISTORICAL_SCENARIO","True","11550942","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-scenarios/MaGaLiveMagaRuntimeStudy","data/mosaic-scenarios/MaGaLiveMagaRuntimeStudy","ACTIVE_RUNTIME_REQUIRED","True","11483217","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"data/mosaic-scenarios/MaGaLiveMagaRuntimeStudy/application/maga-live-maga-runtime.jar","","LOCAL_GENERATED_SAFE_TO_DELETE","True","0","","Generated binary removed from versioned scenario; build creates it in out and deploy injects it into tmp.","false","REMOVED_REGENERABLE_BINARY"
"data/mosaic-scenarios/MaGaLiveStateLayerStudy","archive/historical-scenarios/MaGaLiveStateLayerStudy","ARCHIVE_HISTORICAL_SCENARIO","True","11545068","","Historical MOSAIC scenario not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/diagnostics/phase_11","archive/generated-offline-artifacts/diagnostics-history/phase_11","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","895","","Historical diagnostic retained in archive; active diagnostics keep phase 13E and packaging only.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/diagnostics/phase_12_live_bridge_design_validation.json","archive/generated-offline-artifacts/diagnostics-history/phase_12_live_bridge_design_validation.json","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","26082","26a77285574411f9cb6b83a55c8212c65bd0bd358a62c875cba94c6ab4c2f36a","Historical diagnostic retained in archive; active diagnostics keep phase 13E and packaging only.","false","MOVED_TO_ARCHIVE"
