"RunDirectory","SourcePath","DestinationPath","SizeBytes","SizeMiB","SHA256","SourceStillPresent","DestinationVerified"
"log-20260605-112645-MaGaLiveInfrastructureSnapshotStudy","tmp\mosaic-25.2\logs\log-20260605-112645-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260605-112645-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","True"
"log-20260605-112719-MaGaLiveInfrastructureSnapshotStudy","tmp\mosaic-25.2\logs\log-20260605-112719-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260605-112719-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","True"
"log-20260605-112806-MaGaLiveInfrastructureSnapshotStudy","tmp\mosaic-25.2\logs\log-20260605-112806-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260605-112806-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","True"
"log-20260605-112916-MaGaLiveInfrastructureSnapshotStudy","tmp\mosaic-25.2\logs\log-20260605-112916-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260605-112916-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","5139","0,005","8D1B3BFC64F71A978A1411036C96800844A05533C54042C2DDEBEBF6AB6518CA","True","True"
"log-20260605-113036-MaGaLiveInfrastructureSnapshotStudy","tmp\mosaic-25.2\logs\log-20260605-113036-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260605-113036-MaGaLiveInfrastructureSnapshotStudy\live-infrastructure-snapshot\live_snapshot_manifest.csv","5273","0,005","90E47F1EC640422F054464E9AFCE03E9806321C2113794D0E567DA28CF3B6911","True","True"
"log-20260606-105058-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-105058-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-105058-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","11819","0,011","580DDD5BB599D5BDBD4DF81037332F6D9BEBC8C09C9AED944791D8B97A33C997","True","True"
"log-20260606-105113-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-105113-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-105113-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","12203","0,012","13360DEA94BA361CAEAC229A5662F9A83FAA5E8515A4D329AD3B88CD9C6684F0","True","True"
"log-20260606-105353-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-105353-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-105353-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","11819","0,011","580DDD5BB599D5BDBD4DF81037332F6D9BEBC8C09C9AED944791D8B97A33C997","True","True"
"log-20260606-105409-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-105409-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-105409-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","12203","0,012","13360DEA94BA361CAEAC229A5662F9A83FAA5E8515A4D329AD3B88CD9C6684F0","True","True"
"log-20260606-113605-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-113605-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-113605-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","11819","0,011","580DDD5BB599D5BDBD4DF81037332F6D9BEBC8C09C9AED944791D8B97A33C997","True","True"
