"Category","SourcePath","DestinationPath","ItemType","FileCount","SizeBytes","SizeMiB","AggregateSHA256","SourceRemoved","DestinationVerified","Reason"
"EXTERNAL_TOOL_ARCHIVE","tmp\external-tools\scenario-convert-25.2.zip","tmp\archive\freeze-local-evidence-20260609\external-tools\scenario-convert-25.2.zip","FILE","1","33725160","32,163","B3BCBA1D5727C3657B5FD370A16736F2E7A8DDA911350A822405DF61FDC82AC5","True","True","ZIP storico di Scenario-Convert. La cartella estratta resta operativa."
"PHASE14C42_ARCHIVE","tmp\phase14c42-review-bundle","tmp\archive\freeze-local-evidence-20260609\phase14c42\phase14c42-review-bundle","DIRECTORY","241","21152793","20,173","bf06990db30690966cbc5c69e7ad9b2c8bbbd98681a325c5a79df2229183c539","True","True","Bundle diagnostico storico della fase 14C4.2."
"PHASE14C42_ARCHIVE","tmp\phase14c42-review-bundle.zip","tmp\archive\freeze-local-evidence-20260609\phase14c42\phase14c42-review-bundle.zip","FILE","1","1954991","1,864","B10DA6A7C5C559B2113C0A394C210CD61372704B688838C82D34DDC10A13EA30","True","True","ZIP del bundle diagnostico storico della fase 14C4.2."
"INTAS_REDUCED_NETWORK_ATTEMPT","tmp\diagnostic-reduced-network-14c42","tmp\archive\freeze-local-evidence-20260609\intas-reduced-network-attempt\diagnostic-reduced-network-14c42","DIRECTORY","2","760342","0,725","8ab4f54c27aa7fdd1bf5e3721a72c231e53370cf871e0cc1f27e1ce5ebebfdc6","True","True","Tentativo storico di estrazione della rete ridotta candidate_0045."
"SYNTHETIC_CALIBRATED_REFACTOR","tmp\synthetic-calibrated-refactor-overlay","tmp\archive\freeze-local-evidence-20260609\synthetic-calibrated-refactor\synthetic-calibrated-refactor-overlay","DIRECTORY","19","146792","0,14","035095937984f6769c3b44f6d4f6a93cfaa24baed625a404edff7bda1a1234cb","True","True","Overlay storico del refactor sintetico-calibrato."
"SYNTHETIC_CALIBRATED_REFACTOR","tmp\backup-before-synthetic-refactor-20260607-192048","tmp\archive\freeze-local-evidence-20260609\synthetic-calibrated-refactor\backup-before-synthetic-refactor-20260607-192048","DIRECTORY","10","145210","0,138","b46dce1f2d7c3cfdfd3567db8f840529635b5991cc5a82d980abb2008975994c","True","True","Backup precedente al refactor sintetico-calibrato."
"MANUAL_BACKUPS","tmp\manual-backups","tmp\archive\freeze-local-evidence-20260609\manual-backups","DIRECTORY","13","200249","0,191","dd84198db1ab35e880266457b6eb74c353bf977794361fc07a24a798dc2d267d","True","True","Backup manuali delle correzioni validate."
"MANUAL_EXPORTS","tmp\manual-exports","tmp\archive\freeze-local-evidence-20260609\manual-exports","DIRECTORY","10","7234978","6,9","e7c4ffdd41e6a0ccd7523a70bad341ca4a63331815f72775b486d8b9d1c3a8e3","True","True","Inventari ed export locali prodotti prima del freeze."
"PHASE14C4_LIGHTWEIGHT_DIAGNOSTICS","tmp\diagnose_long_duration_repetition.py","tmp\archive\freeze-local-evidence-20260609\phase14c4-lightweight-diagnostics\diagnose_long_duration_repetition.py","FILE","1","11106","0,011","9E4238BA17F407BEE604EE0144010F72B243C5D325499E52EA8581C67D1C0BC1","True","True","Evidenza diagnostica leggera utile per documentare la calibrazione."
"PHASE14C4_LIGHTWEIGHT_DIAGNOSTICS","tmp\phase14c43-nominal-smoke-summary.csv","tmp\archive\freeze-local-evidence-20260609\phase14c4-lightweight-diagnostics\phase14c43-nominal-smoke-summary.csv","FILE","1","1346","0,001","DC65FAC8CF9287CC771C72164D399ECEAA9DE7A80B52FD43D424F70EAB36A7E0","True","True","Evidenza diagnostica leggera utile per documentare la calibrazione."
"PHASE14C4_LIGHTWEIGHT_DIAGNOSTICS","tmp\phase14c44-density-smoke-summary.csv","tmp\archive\freeze-local-evidence-20260609\phase14c4-lightweight-diagnostics\phase14c44-density-smoke-summary.csv","FILE","1","1093","0,001","9A4E425CFD10521F9666220A09325DCE66B32F3B005815C48E5ACB2FC6D750EF","True","True","Evidenza diagnostica leggera utile per documentare la calibrazione."
"PHASE14C4_LIGHTWEIGHT_DIAGNOSTICS","tmp\phase14c44-density-multiseed-summary.csv","tmp\archive\freeze-local-evidence-20260609\phase14c4-lightweight-diagnostics\phase14c44-density-multiseed-summary.csv","FILE","1","3733","0,004","0CF29A4C380D4A4315AEBFACD9408F22A54838460D63C34DCAAC6278993AFC0A","True","True","Evidenza diagnostica leggera utile per documentare la calibrazione."
"PHASE14C4_LIGHTWEIGHT_DIAGNOSTICS","tmp\phase14c45-repeat-interval-diagnostic.csv","tmp\archive\freeze-local-evidence-20260609\phase14c4-lightweight-diagnostics\phase14c45-repeat-interval-diagnostic.csv","FILE","1","5812","0,006","4D550BC71A4173241C7292B705DD91276570CFE762568FDAD253599F87101DE2","True","True","Evidenza diagnostica leggera utile per documentare la calibrazione."
"ISSUE18_EVIDENCE","out\issue18-json-sequence-configured.txt","tmp\archive\freeze-local-evidence-20260609\issue18\issue18-json-sequence-configured.txt","FILE","1","309712","0,295","76AF7708401673FE4492D6ABFE6DDB55AD9BE5A21CA31E22430FD21207811EDF","True","True","Evidenza storica della correzione dei pool di banda e degli snapshot."
"ISSUE18_EVIDENCE","out\issue18-json-time-observed.txt","tmp\archive\freeze-local-evidence-20260609\issue18\issue18-json-time-observed.txt","FILE","1","291706","0,278","F4DB1DA48288E3F221493710CD27942B6712B90FFB9CCF8AC290E1C48D991547","True","True","Evidenza storica della correzione dei pool di banda e degli snapshot."
"ISSUE18_EVIDENCE","out\issue18-urban-sequence-configured.txt","tmp\archive\freeze-local-evidence-20260609\issue18\issue18-urban-sequence-configured.txt","FILE","1","1630","0,002","5DADA9FC25825550B60E82CA07209F0058DEECDEAABEBD7A8F174DEAE969C002","True","True","Evidenza storica della correzione dei pool di banda e degli snapshot."
"ISSUE18_EVIDENCE","out\issue18-urban-sequence-configured-after-migration.txt","tmp\archive\freeze-local-evidence-20260609\issue18\issue18-urban-sequence-configured-after-migration.txt","FILE","1","385106","0,367","F4CF5853325CDEEFC0535C0D7D857B2F7D90C3491886DED2B9DEA052915C702E","True","True","Evidenza storica della correzione dei pool di banda e degli snapshot."
"OFFLINE_BASELINE_FULL_REFERENCE","tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy","tmp\archive\freeze-local-evidence-20260609\mosaic-log-full-reference\log-20260604-220216-MaGaIntegratedStudy","DIRECTORY","51","3614397","3,447","a2c823c154537763a43585bf6df9bbc56ac6d2121f404ea4039a3303b0eb571a","True","True","Baseline offline canonica precedente al runtime live."
