"RelativePath","Exists","ItemType","FileCount","SizeBytes","SizeMiB","Action","Reason"
"tmp\intas-literature-materialization-staging","True","DIRECTORY","0","0","0","DELETE_EMPTY_REGENERABLE_AFTER_REVIEW","Directory di staging vuota e rigenerabile."
"tmp\phase14c43-nominal-smoke-seed-130363.log","True","FILE","1","6680","0,006","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c43-nominal-smoke-seed-130363.stderr.log","True","FILE","1","0","0","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c43-nominal-smoke-seed-130363.stdout.log","True","FILE","1","53","0","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c43-nominal-smoke-seed-155921.log","True","FILE","1","123352","0,118","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c43-nominal-smoke-seed-181081.log","True","FILE","1","123574","0,118","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c43-nominal-smoke-seed-207547.log","True","FILE","1","123352","0,118","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-high_density-smoke-seed-104729.log","True","FILE","1","132218","0,126","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-high_density-smoke-seed-130363.log","True","FILE","1","132054","0,126","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-high_density-smoke-seed-155921.log","True","FILE","1","131842","0,126","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-high_density-smoke-seed-181081.log","True","FILE","1","132282","0,126","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-high_density-smoke-seed-207547.log","True","FILE","1","132080","0,126","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-low_density-smoke-seed-104729.log","True","FILE","1","117666","0,112","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-low_density-smoke-seed-130363.log","True","FILE","1","117688","0,112","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-low_density-smoke-seed-155921.log","True","FILE","1","117682","0,112","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c44-low_density-smoke-seed-181081.log","True","FILE","1","118122","0,113","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
