"Category","RelativePath","ItemType","FileCount","DirectoryCount","SizeBytes","SizeMiB","AggregateSHA256","Reason"
"ROOT_OUT_DERIVED_OUTPUT","out\app","DIRECTORY","1","0","1098","0,001","17c087740bb4868a3943169f7cf038d946d1f3431e789f2e9f0dcce80463cf83","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\codex-check","DIRECTORY","165","45","597363","0,57","668d6ef613bf8583c7f4711efbeff3f041ccec3ee4a6f6a452d1144c0592925a","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\codex-classes","DIRECTORY","183","41","655488","0,625","e7c34318c378754fbb3ee9979002bd61e1c2735cad462aaa91e77065ee266224","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\codex-classes-local","DIRECTORY","183","41","655617","0,625","a942afe96a5f7165453798bf7038bdcf64cbf2f7a3813f45027318df827425ac","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\codex-compile","DIRECTORY","126","41","483634","0,461","1b79dab280501b3517e9bf0f343bc96155bae7305fee83ecb0ca461c9e39d577","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\codex-verify-issue18","DIRECTORY","180","41","654180","0,624","9b7eba44a74131bb5ad529c01947d4f2921293d4a6f7306410f6db4684ac4bb3","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\codex-verify-issue18b","DIRECTORY","180","41","654180","0,624","9b7eba44a74131bb5ad529c01947d4f2921293d4a6f7306410f6db4684ac4bb3","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\config","DIRECTORY","11","3","31462","0,03","2619d7b1e0dca1c786dd21e3902fe2dae46505b28e6abd9aa9014156faddb590","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\ga","DIRECTORY","34","3","117287","0,112","890deb88fd9cb87badc6adec6ed0f2896baf67bc258ec2498b5fa4656f46af02","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\io","DIRECTORY","6","2","25548","0,024","fd8c5e55307c47d49039b8983e209a692dddd180564cdf2d611beb3cde6a728a","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\Main.class","FILE","1","0","1094","0,001","23579DFD9F71B06A793C8F61A1E431B0ED59B9E4ACCD02711D3D23844B6DD49E","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\model","DIRECTORY","14","3","29679","0,028","011078054315c85f045d1c10d560e120b8b4a8d96155d8423576acf97d8adb61","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\production","DIRECTORY","183","42","790663","0,754","e97ccb893b215446523bca680b59719365b4d99a4a4cb0a33d717b481ea3a972","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\test","DIRECTORY","2","1","16139","0,015","8067e17cbbf6fe21c3b499a74db1cdbb812b577ed9406b5fa62a268ab6ad2d08","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\validation","DIRECTORY","1","1","6940","0,007","2e7052afe1747abd471f16a45900bb4d76b462b3b6f0525b5c6f672c995a8219","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"ROOT_OUT_DERIVED_OUTPUT","out\window","DIRECTORY","40","7","123099","0,117","e78f370639ac3c491a53d19ce138e697c6d9a777fb33911b513e4ccf0e3c2f7b","Vecchie classi compilate o output locali rigenerabili. out\codex-lib viene mantenuta."
"TEMPORARY_REBUILD_OR_DEPLOY_BACKUP","tmp\archive\freeze-local-evidence-20260609\pre-rebuild-active-output-backup-20260609-010147","DIRECTORY","0","0","0","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","Backup temporaneo superato dal rebuild, dal deploy e dallo smoke test post-cleanup validato."
"TEMPORARY_REBUILD_OR_DEPLOY_BACKUP","tmp\archive\freeze-local-evidence-20260609\pre-rebuild-active-output-backup-final-20260609-011306","DIRECTORY","366","77","7461412","7,116","f0be44c6b9c94f155acf61fbc7d3e98cae2d3a6827081b5b1be123cffaf81788","Backup temporaneo superato dal rebuild, dal deploy e dallo smoke test post-cleanup validato."
"TEMPORARY_REBUILD_OR_DEPLOY_BACKUP","tmp\archive\freeze-local-evidence-20260609\pre-rebuild-active-output-backup-retry-20260609-010656","DIRECTORY","0","0","0","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","Backup temporaneo superato dal rebuild, dal deploy e dallo smoke test post-cleanup validato."
"TEMPORARY_REBUILD_OR_DEPLOY_BACKUP","tmp\archive\freeze-local-evidence-20260609\failed-rebuild-output-20260609-010147","DIRECTORY","0","0","0","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","Backup temporaneo superato dal rebuild, dal deploy e dallo smoke test post-cleanup validato."
"TEMPORARY_REBUILD_OR_DEPLOY_BACKUP","tmp\archive\freeze-local-evidence-20260609\failed-rebuild-output-retry-20260609-010656","DIRECTORY","50","9","1472536","1,404","de0a7b4c8419f09b2ef916fee770547a9f7e825d2fab2b6875b41cfbb9b93275","Backup temporaneo superato dal rebuild, dal deploy e dallo smoke test post-cleanup validato."
"TEMPORARY_REBUILD_OR_DEPLOY_BACKUP","tmp\archive\freeze-local-evidence-20260609\pre-deploy-scenario-backup-20260609-011545","DIRECTORY","24","8","1207966","1,152","7af1c18f1d86373cdebbc4826c9ff9f819cda6087347e93387cc597640c40509","Backup temporaneo superato dal rebuild, dal deploy e dallo smoke test post-cleanup validato."
