timeNs,timeSeconds,vehicleId,previousRegion,currentRegion,eventType,sourceFile
6000000000,6,veh_0,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
10000000000,10,veh_1,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
14000000000,14,veh_2,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
18000000000,18,veh_3,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
22000000000,22,veh_4,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
26000000000,26,veh_5,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
30000000000,30,veh_6,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
34000000000,34,veh_7,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
38000000000,38,veh_8,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
42000000000,42,veh_9,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
46000000000,46,veh_10,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
50000000000,50,veh_11,,region_north_normal,REGISTRATION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
83000000000,83,veh_0,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
87000000000,87,veh_1,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
91000000000,91,veh_2,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
95000000000,95,veh_3,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
99000000000,99,veh_4,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
103000000000,103,veh_5,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
107000000000,107,veh_6,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
111000000000,111,veh_7,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
115000000000,115,veh_8,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
119000000000,119,veh_9,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
123000000000,123,veh_10,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
127000000000,127,veh_11,region_north_normal,region_central_degraded,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
132000000000,132,veh_0,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
136000000000,136,veh_1,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
140000000000,140,veh_2,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
