timeNs,timeSeconds,vehicleId,previousRegion,currentRegion,eventType,sourceFile
12000000000,12,veh_3,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
32000000000,32,veh_13,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
52000000000,52,veh_23,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
72000000000,72,veh_33,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
90000000000,90,veh_3,region_north_normal,region_central_degraded,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
92000000000,92,veh_43,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
112000000000,112,veh_53,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
114000000000,114,veh_23,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
115000000000,115,veh_13,region_north_normal,region_central_degraded,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
132000000000,132,veh_63,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
135000000000,135,veh_33,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
152000000000,152,veh_73,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
172000000000,172,veh_83,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
192000000000,192,veh_93,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
199000000000,199,veh_43,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
201000000000,201,veh_53,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
205000000000,205,veh_63,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
212000000000,212,veh_103,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
215000000000,215,veh_73,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
232000000000,232,veh_113,,region_north_normal,REGISTRATION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
235000000000,235,veh_83,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
286000000000,286,veh_93,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
291000000000,291,veh_103,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
297000000000,297,veh_113,region_north_normal,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
303000000000,303,veh_3,region_central_degraded,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
330000000000,330,veh_13,region_central_degraded,globalNetwork,REGION_TRANSITION,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
371000000000,371,veh_23,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
444000000000,444,veh_3,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
464000000000,464,veh_13,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
483000000000,483,veh_33,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
490000000000,490,veh_43,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
493000000000,493,veh_53,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
498000000000,498,veh_63,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
572000000000,572,veh_73,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
579000000000,579,veh_83,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
582000000000,582,veh_93,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
587000000000,587,veh_103,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
663000000000,663,veh_113,globalNetwork,,REMOVAL,tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\output.csv
