snapshotFile,snapshotId,windowIndex,windowTimeNs,windowTimeSeconds,tasksCount,vehiclesCount,candidateNodesCount,localCandidatesCount,v2vCandidatesCount,edgeCandidatesCount,cloudCandidatesCount,accessGatewaysCount,accessLinksCount,activeAccessLinksCount,bandwidthPoolsCount,gatewayPoolsCount,v2vPoolsCount,futureLookAheadViolations,orphanReferenceViolations,duplicateCandidateIds,loaderValidationStatus
snapshot_000_t_005.json,mosaic_generated_000_t_005,1,5000000000,5.0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_001_t_010.json,mosaic_generated_001_t_010,2,10000000000,10.0,3,1,1,1,0,0,0,2,2,0,2,2,0,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_002_t_015.json,mosaic_generated_002_t_015,3,15000000000,15.0,5,3,9,3,6,0,0,2,6,0,5,2,3,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_003_t_020.json,mosaic_generated_003_t_020,4,20000000000,20.0,8,4,16,4,12,0,0,2,8,0,8,2,6,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_004_t_025.json,mosaic_generated_004_t_025,5,25000000000,25.0,10,5,25,5,20,0,0,2,10,0,12,2,10,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_005_t_030.json,mosaic_generated_005_t_030,6,30000000000,30.0,12,6,34,6,28,0,0,2,12,0,16,2,14,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_006_t_035.json,mosaic_generated_006_t_035,7,35000000000,35.0,13,8,60,8,48,2,2,2,16,2,26,2,24,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_007_t_040.json,mosaic_generated_007_t_040,8,40000000000,40.0,19,9,73,9,58,3,3,2,18,3,31,2,29,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_008_t_045.json,mosaic_generated_008_t_045,9,45000000000,45.0,18,10,86,10,68,4,4,2,20,4,36,2,34,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_009_t_050.json,mosaic_generated_009_t_050,10,50000000000,50.0,21,11,99,11,78,5,5,2,22,5,41,2,39,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_010_t_055.json,mosaic_generated_010_t_055,11,55000000000,55.0,22,12,112,12,86,7,7,2,24,7,45,2,43,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_011_t_060.json,mosaic_generated_011_t_060,12,60000000000,60.0,23,12,116,12,90,7,7,2,24,7,47,2,45,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_012_t_065.json,mosaic_generated_012_t_065,13,65000000000,65.0,20,12,116,12,90,7,7,2,24,7,47,2,45,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_013_t_070.json,mosaic_generated_013_t_070,14,70000000000,70.0,24,12,114,12,88,7,7,2,24,7,46,2,44,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_014_t_075.json,mosaic_generated_014_t_075,15,75000000000,75.0,21,12,116,12,88,8,8,2,24,8,46,2,44,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
snapshot_015_t_080.json,mosaic_generated_015_t_080,16,80000000000,80.0,22,12,112,12,88,6,6,2,24,6,46,2,44,0,0,0,JAVA_LOADER_AND_VALIDATOR_VALIDATED
