taskId,sourceVehicleId,profileId,activationTimeNs,activationTimeMs,inputSizeBits,outputSizeBits,cpuCycles,deadlineSeconds
perception_light__veh_0__t_7000,veh_0,perception_light,7000000000,7000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_8000,veh_0,planning_medium,8000000000,8000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_0__t_9000,veh_0,cooperative_awareness,9000000000,9000,512000,16000,800000000,0.75
perception_light__veh_1__t_11000,veh_1,perception_light,11000000000,11000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_12000,veh_0,perception_light,12000000000,12000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_12000,veh_1,planning_medium,12000000000,12000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_13000,veh_1,cooperative_awareness,13000000000,13000,512000,16000,800000000,0.75
perception_light__veh_2__t_15000,veh_2,perception_light,15000000000,15000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_16000,veh_1,perception_light,16000000000,16000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_16000,veh_2,planning_medium,16000000000,16000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_17000,veh_0,perception_light,17000000000,17000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_2__t_17000,veh_2,cooperative_awareness,17000000000,17000,512000,16000,800000000,0.75
planning_medium__veh_0__t_18000,veh_0,planning_medium,18000000000,18000,2000000,32000,3000000000,1.0
perception_light__veh_3__t_19000,veh_3,perception_light,19000000000,19000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_20000,veh_2,perception_light,20000000000,20000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_20000,veh_3,planning_medium,20000000000,20000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_21000,veh_1,perception_light,21000000000,21000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_3__t_21000,veh_3,cooperative_awareness,21000000000,21000,512000,16000,800000000,0.75
perception_light__veh_0__t_22000,veh_0,perception_light,22000000000,22000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_22000,veh_1,planning_medium,22000000000,22000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_23000,veh_4,perception_light,23000000000,23000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_24000,veh_0,cooperative_awareness,24000000000,24000,512000,16000,800000000,0.75
perception_light__veh_3__t_24000,veh_3,perception_light,24000000000,24000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_24000,veh_4,planning_medium,24000000000,24000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_25000,veh_2,perception_light,25000000000,25000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_4__t_25000,veh_4,cooperative_awareness,25000000000,25000,512000,16000,800000000,0.75
perception_light__veh_1__t_26000,veh_1,perception_light,26000000000,26000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_26000,veh_2,planning_medium,26000000000,26000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_27000,veh_0,perception_light,27000000000,27000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_27000,veh_5,perception_light,27000000000,27000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_28000,veh_0,planning_medium,28000000000,28000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_28000,veh_1,cooperative_awareness,28000000000,28000,512000,16000,800000000,0.75
perception_light__veh_4__t_28000,veh_4,perception_light,28000000000,28000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_28000,veh_5,planning_medium,28000000000,28000,2000000,32000,3000000000,1.0
perception_light__veh_3__t_29000,veh_3,perception_light,29000000000,29000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_5__t_29000,veh_5,cooperative_awareness,29000000000,29000,512000,16000,800000000,0.75
perception_light__veh_2__t_30000,veh_2,perception_light,30000000000,30000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_30000,veh_3,planning_medium,30000000000,30000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_31000,veh_1,perception_light,31000000000,31000,8000000,64000,1500000000,0.5
